"Property","N","R2","concordance","MSE","RMSE","bias","MSEc","RMSEc","RPD","RPIQ"
"Mg..mg.kg._val",21,0.044,0.158,5834102.415,2415.389,-165.474,5806720.898,2409.714,1.002,1.477
"Na..mg.kg._cal",51,0.942,0.88,651791.832,807.336,44.68,649795.57,806.099,2.625,3.566
"Na..mg.kg._val",21,0.006,0.041,8987191.974,2997.865,-413.131,8816514.916,2969.262,0.995,1.141
"Temp._cal",42,0.943,0.861,631.49,25.129,0.286,631.408,25.128,2.478,3.979
"Temp._val",18,0.003,-0.031,5363.294,73.235,-11.33,5234.934,72.353,0.944,0.683
"Yield..w.w._cal",41,0.933,0.874,0.002,0.042,0,0.002,0.042,2.599,3.577
"Yield..w.w._val",19,0.05,0.157,0.018,0.136,0.037,0.017,0.131,0.977,0.692
"M105avg_cal",56,0.956,0.899,0,0.004,0,0,0.004,2.845,4.23
"M105avg_val",24,0.02,0.082,0,0.013,-0.004,0,0.013,0.962,1.488
"labile.mass...avg_cal",42,0.947,0.849,0,0.01,0,0,0.01,2.384,3.632
"labile.mass...avg_val",20,0.144,-0.278,0.001,0.026,0.005,0.001,0.026,0.791,1.465
"Fixed.Carbon...1..ash...volatiles..avg.1_cal",54,0.944,0.881,0.005,0.069,-0.002,0.005,0.069,2.625,2.958
"Fixed.Carbon...1..ash...volatiles..avg.1_val",24,0.013,-0.079,0.056,0.236,-0.015,0.056,0.236,0.903,0.87
"Ash.Free.Mass..1..ash..avg_cal",54,0.914,0.855,0.007,0.086,-0.003,0.007,0.086,2.363,4.087
"Ash.Free.Mass..1..ash..avg_val",24,0,0.005,0.044,0.211,-0.019,0.044,0.21,0.908,1.191
"X..Volatiles..afm.....volatiles..1.ASTM.ash.free.mass...avg_cal",54,0.945,0.884,0.004,0.066,0.003,0.004,0.066,2.654,3.247
"X..Volatiles..afm.....volatiles..1.ASTM.ash.free.mass...avg_val",24,0,0.014,0.05,0.224,-0.003,0.05,0.224,0.954,1.305
"X.Corg.w.w._cal",35,0.906,0.871,0.006,0.08,-0.003,0.006,0.08,2.581,1.69
"X.Corg.w.w._val",16,0.037,-0.143,0.089,0.298,0.012,0.089,0.298,0.863,1.487
"X.Cinorg_cal",35,0.917,0.839,0,0.02,0,0,0.02,2.322,1.659
"X.Cinorg_val",16,0.146,-0.194,0.003,0.059,0.011,0.003,0.058,0.881,0.776
"X.Ntot..w.w._cal",45,0.913,0.842,0,0.001,0,0,0.001,2.296,2.706
"X.Ntot..w.w._val",19,0.073,-0.148,0,0.001,0,0,0.001,0.909,1.2
"X.Htot..w.w._cal",32,0.941,0.894,0,0.004,0,0,0.004,2.963,3.143
"X.Htot..w.w._val",15,0.002,-0.028,0,0.012,0.004,0,0.012,0.828,0.786
"X.Oult_cal",32,0.93,0.858,0,0.02,0.001,0,0.02,2.512,3.934
"X.Oult_val",15,0.111,-0.217,0.003,0.057,0.007,0.003,0.056,0.853,1.128
"X.Oc..Al.Si.Fe._cal",32,0.928,0.862,0,0.02,0,0,0.02,2.544,3.919
"X.Oc..Al.Si.Fe._val",15,0.11,-0.212,0.003,0.055,0.006,0.003,0.055,0.859,1.068
"X.Oc..Al.Si.Fe.Ca._cal",32,0.993,0.959,0,0.014,0.001,0,0.014,7.472,1.114
"X.Oc..Al.Si.Fe.Ca._val",15,0.007,-0.074,0.028,0.168,0.014,0.028,0.168,0.765,0.669
"X.Oc..Al.Si.Fe.Cinorg._cal",32,0.926,0.846,0.004,0.065,-0.002,0.004,0.065,2.408,2.747
"X.Oc..Al.Si.Fe.Cinorg._val",15,0.116,-0.207,0.051,0.225,0.006,0.051,0.225,0.878,1.019
"X.Oc..Cinorg._cal",32,0.927,0.857,0.004,0.062,-0.001,0.004,0.062,2.501,2.869
"X.Oc..Cinorg._val",15,0.093,-0.178,0.048,0.22,0.008,0.048,0.22,0.894,1.026
"mg.Al2O3.O.kg.char_cal",50,0.923,0.795,310093.208,556.86,75.255,304429.848,551.752,2.032,1.298
"mg.Al2O3.O.kg.char_val",21,0.087,0.063,3015828.203,1736.614,-183.415,2982187.232,1726.901,1.048,0.438
"mg.SiO2.O.kg.char_cal",50,0.948,0.855,4792.273,69.226,0.094,4792.264,69.226,2.405,3.536
"mg.SiO2.O.kg.char_val",21,0.032,0.097,19898.036,141.06,-43.943,17967.038,134.041,0.975,1.091
"mg.Fe2O3.O.kg.char_cal",50,0.91,0.8,176645.93,420.293,35.765,175366.822,418.768,2.049,1.451
